"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 12:19:39 EST 2024","Tue Jan 02 12:19:39 EST 2024","433","","Testing LinkedList page","","The user validating ""Practice Questions"" page","","The user validating ""Practice Questions"" page",""
"passed","Tue Jan 02 12:19:42 EST 2024","Tue Jan 02 12:19:43 EST 2024","377","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Implementation"" Page","","The user is able to navigate to ""Implementation"" Page",""
"passed","Tue Jan 02 12:19:34 EST 2024","Tue Jan 02 12:19:35 EST 2024","640","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:00 EST 2024","Tue Jan 02 12:20:01 EST 2024","557","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:28 EST 2024","Tue Jan 02 12:20:30 EST 2024","1518","","Graph: Luanch the DS-Algo portal and test Graph module","","The user should be redirected to tryeditor page with run button to test python code","","The user should be redirected to tryeditor page with run button to test python code",""
"passed","Tue Jan 02 12:20:13 EST 2024","Tue Jan 02 12:20:13 EST 2024","267","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Tree Traversals page","","The user is able to navigate to a page having an tryEditor from Binary Tree Traversals page",""
"passed","Tue Jan 02 12:19:58 EST 2024","Tue Jan 02 12:19:59 EST 2024","518","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:40 EST 2024","Tue Jan 02 12:18:40 EST 2024","446","","Validating Register page","","The user is presented with error message for invalid username","","The user is presented with error message for invalid username",""
"passed","Tue Jan 02 12:20:26 EST 2024","Tue Jan 02 12:20:27 EST 2024","406","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:37 EST 2024","Tue Jan 02 12:19:38 EST 2024","301","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Deletion page","","User navigated to tryEditor page with Run button from Deletion page",""
"passed","Tue Jan 02 12:19:23 EST 2024","Tue Jan 02 12:19:24 EST 2024","417","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array","","The user is presented with error message for code with invalid syntax in tryEditor for Squares of a Sorted Array",""
"passed","Tue Jan 02 12:20:07 EST 2024","Tue Jan 02 12:20:07 EST 2024","327","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Binary Trees Page",""
"passed","Tue Jan 02 12:19:33 EST 2024","Tue Jan 02 12:19:34 EST 2024","561","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Traversal page","","User navigated to tryEditor page with Run button from Traversal page",""
"passed","Tue Jan 02 12:20:09 EST 2024","Tue Jan 02 12:20:09 EST 2024","379","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Types of Binary Trees Page","","The user is able to navigate to a page having an tryEditor from Types of Binary Trees Page",""
"passed","Tue Jan 02 12:20:17 EST 2024","Tue Jan 02 12:20:17 EST 2024","388","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:19 EST 2024","Tue Jan 02 12:20:20 EST 2024","422","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:55 EST 2024","Tue Jan 02 12:18:56 EST 2024","844","","Array feature","","Navigating Arrays in Python page","","Navigating Arrays in Python page",""
"passed","Tue Jan 02 12:20:02 EST 2024","Tue Jan 02 12:20:03 EST 2024","467","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:54 EST 2024","Tue Jan 02 12:19:55 EST 2024","442","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:24 EST 2024","Tue Jan 02 12:20:26 EST 2024","1500","","Graph: Luanch the DS-Algo portal and test Graph module","","The user should be redirected to tryeditor page with run button to test python code","","The user should be redirected to tryeditor page with run button to test python code",""
"passed","Tue Jan 02 12:19:21 EST 2024","Tue Jan 02 12:19:23 EST 2024","1847","","Array feature","","The user is able to submit code in tryEditor for Squares of a Sorted Array","","The user is able to submit code in tryEditor for Squares of a Sorted Array",""
"passed","Tue Jan 02 12:20:13 EST 2024","Tue Jan 02 12:20:13 EST 2024","476","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:47 EST 2024","Tue Jan 02 12:19:48 EST 2024","669","","Queue feature","","Navigating Implementation of Queue in Python page","","Navigating Implementation of Queue in Python page",""
"passed","Tue Jan 02 12:20:31 EST 2024","Tue Jan 02 12:20:33 EST 2024","2511","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to navigate to graph url and click on Practice Questions","","The user is able to navigate to graph url and click on Practice Questions",""
"passed","Tue Jan 02 12:20:19 EST 2024","Tue Jan 02 12:20:19 EST 2024","489","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:12 EST 2024","Tue Jan 02 12:20:13 EST 2024","422","","User tests the Tree page on the Ds algo application","","The user is able to navigate to binary tree traversals Page","","The user is able to navigate to binary tree traversals Page",""
"passed","Tue Jan 02 12:19:35 EST 2024","Tue Jan 02 12:19:36 EST 2024","352","","Testing LinkedList page","","User navigated to tryEditor page with Run button from Insertion page","","User navigated to tryEditor page with Run button from Insertion page",""
"passed","Tue Jan 02 12:18:22 EST 2024","Tue Jan 02 12:18:25 EST 2024","3339","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Queue"" without sign in","","User is on Home page and click on dropdown ""Queue"" without sign in",""
"passed","Tue Jan 02 12:19:41 EST 2024","Tue Jan 02 12:19:41 EST 2024","285","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to a page having an tryEditor from Operations in Stack page","","The user is able to navigate to a page having an tryEditor from Operations in Stack page",""
"passed","Tue Jan 02 12:19:50 EST 2024","Tue Jan 02 12:19:51 EST 2024","538","","Queue feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:03 EST 2024","Tue Jan 02 12:19:04 EST 2024","465","","Array feature","","The user is able to navigate to Question page from Search the array link","","The user is able to navigate to Question page from Search the array link",""
"passed","Tue Jan 02 12:18:54 EST 2024","Tue Jan 02 12:18:55 EST 2024","576","","Array feature","","The user is logged in to DS Algo portal","","The user is logged in to DS Algo portal",""
"passed","Tue Jan 02 12:19:40 EST 2024","Tue Jan 02 12:19:41 EST 2024","365","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to navigate to ""Operations in Stack"" page","","The user is able to navigate to ""Operations in Stack"" page",""
"passed","Tue Jan 02 12:18:53 EST 2024","Tue Jan 02 12:18:54 EST 2024","1299","","DataStructures-Introduction feature","","The user is able to click and navigate to Practice Questions","","The user is able to click and navigate to Practice Questions",""
"passed","Tue Jan 02 12:19:19 EST 2024","Tue Jan 02 12:19:20 EST 2024","483","","Array feature","","The user is able to navigate to Question page from Squares of a Sorted Array","","The user is able to navigate to Question page from Squares of a Sorted Array",""
"passed","Tue Jan 02 12:18:01 EST 2024","Tue Jan 02 12:18:05 EST 2024","3357","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Queue"" on home page without sign in","","User is on Home page and click getstarted link ""Queue"" on home page without sign in",""
"passed","Tue Jan 02 12:18:05 EST 2024","Tue Jan 02 12:18:08 EST 2024","3399","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Tree"" on home page without sign in","","User is on Home page and click getstarted link ""Tree"" on home page without sign in",""
"passed","Tue Jan 02 12:19:55 EST 2024","Tue Jan 02 12:19:55 EST 2024","342","","Queue feature","","The user is able to click and navigate to Practice Questions","","The user is able to click and navigate to Practice Questions",""
"passed","Tue Jan 02 12:20:09 EST 2024","Tue Jan 02 12:20:09 EST 2024","471","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Types of Binary trees"" Page","","The user is able to navigate to ""Types of Binary trees"" Page",""
"passed","Tue Jan 02 12:19:20 EST 2024","Tue Jan 02 12:19:21 EST 2024","1540","","Array feature","","The user is able to run code in tryEditor for Squares of a Sorted Array","","The user is able to run code in tryEditor for Squares of a Sorted Array",""
"failed","Tue Jan 02 12:18:43 EST 2024","Tue Jan 02 12:18:44 EST 2024","1036","","Validating Register page","","The user is presented with error message for existing username","","The user is presented with error message for existing username",""
"passed","Tue Jan 02 12:19:30 EST 2024","Tue Jan 02 12:19:31 EST 2024","620","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:35 EST 2024","Tue Jan 02 12:19:35 EST 2024","352","","Testing LinkedList page","","user navigated to ""Insertion"" page","","user navigated to ""Insertion"" page",""
"passed","Tue Jan 02 12:18:44 EST 2024","Tue Jan 02 12:18:45 EST 2024","483","","Validating Login page","","User on login page and login with empty username and valid password","","User on login page and login with empty username and valid password",""
"passed","Tue Jan 02 12:19:58 EST 2024","Tue Jan 02 12:19:58 EST 2024","284","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Overview of Trees page","","The user is able to navigate to a page having an tryEditor from Overview of Trees page",""
"passed","Tue Jan 02 12:20:30 EST 2024","Tue Jan 02 12:20:30 EST 2024","524","","Graph: Luanch the DS-Algo portal and test Graph module","","The user is able to run code in Editor for Graph Representations page","","The user is able to run code in Editor for Graph Representations page",""
"passed","Tue Jan 02 12:18:41 EST 2024","Tue Jan 02 12:18:42 EST 2024","396","","Validating Register page","","The user is presented with error message for password too similar to your other personal information","","The user is presented with error message for password too similar to your other personal information",""
"passed","Tue Jan 02 12:19:44 EST 2024","Tue Jan 02 12:19:44 EST 2024","402","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:17 EST 2024","Tue Jan 02 12:19:19 EST 2024","2042","","Array feature","","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits","","The user is able to submit code in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Tue Jan 02 12:19:15 EST 2024","Tue Jan 02 12:19:17 EST 2024","1720","","Array feature","","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits","","The user is able to run code in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Tue Jan 02 12:19:41 EST 2024","Tue Jan 02 12:19:42 EST 2024","579","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:00 EST 2024","Tue Jan 02 12:19:00 EST 2024","593","","Array feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:03 EST 2024","Tue Jan 02 12:20:04 EST 2024","316","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Tree Traversals Page","","The user is able to navigate to a page having an tryEditor from Tree Traversals Page",""
"passed","Tue Jan 02 12:17:54 EST 2024","Tue Jan 02 12:17:58 EST 2024","3486","","User launch dsalgo application and test Home page","","User is on Home page and click getstarted link ""Linkedlist"" on home page without sign in","","User is on Home page and click getstarted link ""Linkedlist"" on home page without sign in",""
"passed","Tue Jan 02 12:18:59 EST 2024","Tue Jan 02 12:19:00 EST 2024","764","","Array feature","","Navigating Basic Operations in Lists page","","Navigating Basic Operations in Lists page",""
"passed","Tue Jan 02 12:19:02 EST 2024","Tue Jan 02 12:19:02 EST 2024","574","","Array feature","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:06 EST 2024","Tue Jan 02 12:19:08 EST 2024","1820","","Array feature","","The user is able to submit code in tryEditor for Search the array link","","The user is able to submit code in tryEditor for Search the array link",""
"passed","Tue Jan 02 12:20:11 EST 2024","Tue Jan 02 12:20:12 EST 2024","477","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:26 EST 2024","Tue Jan 02 12:19:26 EST 2024","512","","Testing LinkedList page","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:15 EST 2024","Tue Jan 02 12:20:16 EST 2024","397","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:45 EST 2024","Tue Jan 02 12:19:45 EST 2024","660","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:57 EST 2024","Tue Jan 02 12:19:58 EST 2024","414","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Overview of Trees"" page","","The user is able to navigate to ""Overview of Trees"" page",""
"passed","Tue Jan 02 12:19:59 EST 2024","Tue Jan 02 12:19:59 EST 2024","484","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:20 EST 2024","Tue Jan 02 12:20:20 EST 2024","314","","User tests the Tree page on the Ds algo application","","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page","","The user is able to navigate to a page having an tryEditor from Implementation Of BST Page",""
"passed","Tue Jan 02 12:20:06 EST 2024","Tue Jan 02 12:20:06 EST 2024","482","","User tests the Tree page on the Ds algo application","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:07 EST 2024","Tue Jan 02 12:20:07 EST 2024","459","","User tests the Tree page on the Ds algo application","","The user is able to navigate to ""Binary trees"" Page","","The user is able to navigate to ""Binary trees"" Page",""
"passed","Tue Jan 02 12:20:02 EST 2024","Tue Jan 02 12:20:02 EST 2024","503","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:08 EST 2024","Tue Jan 02 12:19:09 EST 2024","527","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Search the array link","","The user is presented with error message for code with invalid syntax in tryEditor for Search the array link",""
"passed","Tue Jan 02 12:19:51 EST 2024","Tue Jan 02 12:19:52 EST 2024","779","","Queue feature","","Navigating Implementation using array page","","Navigating Implementation using array page",""
"passed","Tue Jan 02 12:18:39 EST 2024","Tue Jan 02 12:18:39 EST 2024","311","","Validating Register page","","The user is presented with error message for empty fields below Username textbox","","The user is presented with error message for empty fields below Username textbox",""
"passed","Tue Jan 02 12:19:56 EST 2024","Tue Jan 02 12:19:57 EST 2024","1399","","User tests the Tree page on the Ds algo application","","The user is directed to ""Tree"" Page","","The user is directed to ""Tree"" Page",""
"passed","Tue Jan 02 12:19:45 EST 2024","Tue Jan 02 12:19:46 EST 2024","417","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:42 EST 2024","Tue Jan 02 12:19:42 EST 2024","584","","Stack: Luanch the DS-Algo portal and test Stack module","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:18:49 EST 2024","Tue Jan 02 12:18:49 EST 2024","344","","DataStructures-Introduction feature","","Navigating to DataStructures-Introduction page","","Navigating to DataStructures-Introduction page",""
"passed","Tue Jan 02 12:18:57 EST 2024","Tue Jan 02 12:18:57 EST 2024","485","","Array feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:25 EST 2024","Tue Jan 02 12:19:25 EST 2024","360","","Testing LinkedList page","","User navigated to ""Introduction"" page","","User navigated to ""Introduction"" page",""
"passed","Tue Jan 02 12:18:18 EST 2024","Tue Jan 02 12:18:22 EST 2024","3365","","User launch dsalgo application and test Home page","","User is on Home page and click on dropdown ""Stack"" without sign in","","User is on Home page and click on dropdown ""Stack"" without sign in",""
"passed","Tue Jan 02 12:19:19 EST 2024","Tue Jan 02 12:19:19 EST 2024","490","","Array feature","","The user is presented with error message for code with invalid syntax in tryEditor for Find Numbers with Even Number of Digits","","The user is presented with error message for code with invalid syntax in tryEditor for Find Numbers with Even Number of Digits",""
"passed","Tue Jan 02 12:20:05 EST 2024","Tue Jan 02 12:20:06 EST 2024","674","","User tests the Tree page on the Ds algo application","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:14 EST 2024","Tue Jan 02 12:19:15 EST 2024","698","","Array feature","","The user is presented with error message for invalid code in tryEditor for Max Consecutive Ones","","The user is presented with error message for invalid code in tryEditor for Max Consecutive Ones",""
"passed","Tue Jan 02 12:19:00 EST 2024","Tue Jan 02 12:19:01 EST 2024","433","","Array feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
"passed","Tue Jan 02 12:19:25 EST 2024","Tue Jan 02 12:19:26 EST 2024","549","","Testing LinkedList page","","The user is able to run code in Editor for Graph page","","The user is able to run code in Editor for Graph page",""
"passed","Tue Jan 02 12:20:00 EST 2024","Tue Jan 02 12:20:00 EST 2024","396","","User tests the Tree page on the Ds algo application","","The user is able to navigate to Terminologies page having an tryEditor","","The user is able to navigate to Terminologies page having an tryEditor",""
"passed","Tue Jan 02 12:19:53 EST 2024","Tue Jan 02 12:19:53 EST 2024","411","","Queue feature","","The user is presented with error message for invalid code in Editor for Graph page","","The user is presented with error message for invalid code in Editor for Graph page",""
